#%%field-000=date-time,string8
#%%field-001=facility,string8
#%%field-002=level,int8
#%%field-003=mem usage (MB),string8
#%%field-004=message,string8
#
date-time	facility	level	mem usage (MB)	message
12/29/2025 19:10:45	GUI,INFO,LOG	1	0	logging to file '/Users/elizakishan/Documents/Analysis/LabData/ReprocessedLM/SUH117/temp/apt-copynumber-onco-ssa.log'
12/29/2025 19:10:45	GUI,INFO,LOG	1	0	Application: /Library/Frameworks/R.framework/Versions/4.1/Resources/library/apt.oncoscan.2.4.0/apt/bin//apt-copynumber-onco-ssa_osx
12/29/2025 19:10:45	INFO	1	0	Version: 2.4.0 svn://svn.affymetrix.com/apt2-copynumber/branches/APT_CN_2_4_0_BRANCH@1023(1501) 2015-09-16-15:56
12/29/2025 19:10:45	INFO	1	0	Log file selector: "*:9"
12/29/2025 19:10:45	INFO	1	0	Console selector: "OR(info,warning,error,help,INFO,WARNING,ERROR,HELP)"
12/29/2025 19:10:45	runtime,PROGRESS	1	0	0.000000,0.000000,0.000000,starting
12/29/2025 19:10:45	DEBUG	1	0	creating... main CopynumberOncoNodeEngine
12/29/2025 19:10:45	DEBUG	1	0	creating... library-file-node CopynumberOncoNodeLibraryFile
12/29/2025 19:10:45	DEBUG	1	0	creating... experiments-node CopynumberOncoNodeExperiments
12/29/2025 19:10:45	DEBUG	1	0	creating... cel-reader-node CopynumberOncoNodeCelReader
12/29/2025 19:10:45	DEBUG	1	0	creating... raw-intensity-gender-node CopynumberOncoNodeGenderRawIntensity
12/29/2025 19:10:45	DEBUG	1	0	creating... normal-diploid-iterator-node CopynumberOncoNodeNormalDiploidIterator
12/29/2025 19:10:45	DEBUG	1	0	creating... normal-diploid-switch-node CopynumberOncoNodeNormalDiploidSwitch
12/29/2025 19:10:45	DEBUG	1	0	creating... covariate-intensity-adjuster-node CopynumberOncoNodeCovariateIntensityAdjuster
12/29/2025 19:10:45	DEBUG	1	0	creating... normalization-node CopynumberOncoNodeNormalization
12/29/2025 19:10:45	DEBUG	1	0	creating... summarization-node CopynumberOncoNodeSummarization
12/29/2025 19:10:45	DEBUG	1	0	creating... allelic-difference-node CopynumberOncoNodeAllelicDifference
12/29/2025 19:10:45	DEBUG	1	0	creating... log2-ratio-node CopynumberOncoNodeLog2Ratio
12/29/2025 19:10:45	DEBUG	1	0	creating... normal-diploid-detection-node CopynumberOncoNodeNormalDiploidDetection
12/29/2025 19:10:45	DEBUG	1	0	creating... signal-gender-node CopynumberOncoNodeXYSignalGender
12/29/2025 19:10:45	DEBUG	1	0	creating... log2-ratio-adjuster-image-node CopynumberOncoNodeLog2RatioAdjusterImage
12/29/2025 19:10:45	DEBUG	1	0	creating... log2-ratio-adjuster-covariate-node CopynumberOncoNodeLog2RatioAdjusterCovariate
12/29/2025 19:10:45	DEBUG	1	0	creating... log2-ratio-adjuster-wave-node CopynumberOncoNodeLog2RatioAdjusterWave
12/29/2025 19:10:45	DEBUG	1	0	creating... log2-ratio-adjuster-y-target-node CopynumberOncoNodeLog2RatioAdjusterYTarget
12/29/2025 19:10:45	DEBUG	1	0	creating... baf-node CopynumberOncoNodeBAF
12/29/2025 19:10:45	DEBUG	1	0	creating... allele-peaks-baf-node CopynumberOncoNodeAllelePeaksBaf
12/29/2025 19:10:45	DEBUG	1	0	creating... snpqc-node CopynumberOncoNodeSNPQC
12/29/2025 19:10:45	DEBUG	1	0	creating... tuscan-node CopynumberOncoNodeTUSCAN
12/29/2025 19:10:45	DEBUG	1	0	creating... tuscan-switch-node CopynumberOncoNodeTUSCANSwitch
12/29/2025 19:10:45	DEBUG	1	0	creating... tuscan-homhet-flags-node CopynumberOncoNodeTUSCANHomHet
12/29/2025 19:10:45	DEBUG	1	0	creating... tuscan-segmenter-node CopynumberOncoNodeTUSCANSegmenter
12/29/2025 19:10:45	DEBUG	1	0	creating... tuscan-total-cn-node CopynumberOncoNodeTUSCANTotalCN
12/29/2025 19:10:45	DEBUG	1	0	creating... shrinkage-v2-node CopynumberOncoNodeShrinkageV2
12/29/2025 19:10:45	DEBUG	1	0	creating... cn-gender-node CopynumberOncoNodeCNGender
12/29/2025 19:10:45	DEBUG	1	0	creating... par-segments-node CopynumberOncoNodeTUSCANBreakAtPAR
12/29/2025 19:10:45	DEBUG	1	0	creating... tuscan-binned-cn-node CopynumberOncoNodeTUSCANBinnedCN
12/29/2025 19:10:45	DEBUG	1	0	creating... kernel-smooth-node CopynumberOncoNodeLog2RatioSmootherKernel
12/29/2025 19:10:45	DEBUG	1	0	creating... genotyping-node CopynumberOncoNodeGenotyping
12/29/2025 19:10:45	DEBUG	1	0	creating... cel-pair-check-node CopynumberOncoNodeSignatureSnps
12/29/2025 19:10:45	DEBUG	1	0	creating... matched-normal-check-node CopynumberOncoNodeMatchedNormalCheck
12/29/2025 19:10:45	DEBUG	1	0	creating... remove-ap-modulation-node CopynumberOncoNodeRemoveAPModulation
12/29/2025 19:10:45	DEBUG	1	0	creating... allele-peaks-ad-node CopynumberOncoNodeAllelePeaksAD
12/29/2025 19:10:45	DEBUG	1	0	creating... loh-node CopynumberOncoNodeBafLOH
12/29/2025 19:10:45	DEBUG	1	0	creating... cn-neutral-loh-node CopynumberOncoNodeCNNeutralLOH
12/29/2025 19:10:45	DEBUG	1	0	creating... chp-node CopynumberOncoNodeReporterCychp
